Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag,B_Tmag,V_Tmag,Jmag,Hmag,Ksmag
0.00051413,-1.48,9.5,0.4500000179,26.7739086151,0.45,-1.298,3.6382,4.893,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.37e-15,0.0,0.7503,0.2491,9.352e-05,2.523e-05,0.0002288,-1.0,0.0005201,8.014,8.17,8.805,7.419,9.869,8.746,6.481,5.937,5.791
0.00051413,-1.48,9.5,0.5,26.7948455811,0.5,-1.118,3.6613,4.852,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.09e-15,0.0,0.7503,0.2491,9.352e-05,2.523e-05,0.0002288,-1.0,0.00052,7.564,7.653,8.206,6.959,9.139,8.14,6.096,5.578,5.456
0.00051413,-1.48,9.5,0.5500000715,26.811384201,0.55,-0.935,3.6849,4.805,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-7.77e-15,0.0,0.7597,0.2398,9.025e-05,2.435e-05,0.0002209,-1.0,0.0004902,7.108,7.136,7.615,6.501,8.423,7.544,5.719,5.248,5.144
0.00051413,-1.48,9.5,0.5883870125,26.8218688965,0.588,-0.8,3.703,4.771,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.07e-14,0.0,0.7619,0.2376,8.948e-05,2.415e-05,0.0002191,-1.0,0.000513,6.77,6.762,7.192,6.166,7.917,7.123,5.447,5.018,4.925
0.00051413,-1.48,9.5,0.6000000238,26.8247318268,0.6,-0.761,3.7082,4.761,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.17e-14,0.0,0.7626,0.2369,8.926e-05,2.409e-05,0.0002185,-1.0,0.0005188,6.671,6.655,7.073,6.071,7.775,7.005,5.368,4.951,4.861
0.00051413,-1.48,9.5,0.6499919295,26.8356990814,0.65,-0.59,3.7331,4.725,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.74e-14,0.0,0.7663,0.2332,8.802e-05,2.376e-05,0.0002155,-1.0,0.0005201,6.245,6.202,6.561,5.668,7.158,6.504,5.044,4.678,4.603
0.00051413,-1.48,9.5,0.6499999762,26.8357009888,0.65,-0.59,3.7331,4.725,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.74e-14,0.0,0.7664,0.2332,8.801e-05,2.375e-05,0.0002155,-1.0,0.0004234,6.245,6.202,6.561,5.668,7.158,6.504,5.044,4.678,4.603
0.00051413,-1.48,9.5,0.6728226542,26.8400764465,0.673,-0.514,3.7442,4.709,1,0.0,0.544,0.0,0.0,0.0,0.0,0.0,-1,-2.07e-14,0.0,0.7685,0.231,8.73e-05,2.356e-05,0.0002138,-1.0,0.0004672,6.056,6.006,6.342,5.495,6.896,6.291,4.902,4.557,4.488
0.00051413,-1.48,9.5,0.6999999881,26.8448524475,0.7,-0.427,3.7569,4.689,1,0.0,0.544,0.0,0.0,0.0,0.0,0.0,-1,-2.54e-14,0.0,0.7713,0.2281,8.637e-05,2.332e-05,0.0002116,-1.0,0.0005162,5.836,5.785,6.092,5.301,6.599,6.049,4.742,4.416,4.357
0.00051413,-1.48,9.5,0.7119747996,26.8468208313,0.712,-0.389,3.7623,4.68,1,0.0,0.542,0.0,0.0,0.0,0.0,0.0,-1,-2.78e-14,0.0,0.773,0.2265,8.555e-05,2.317e-05,0.0002103,-1.0,0.0005004,5.742,5.691,5.986,5.218,6.473,5.946,4.673,4.355,4.3
0.00051413,-1.48,9.5,0.7472298741,26.8521900177,0.747,-0.279,3.7776,4.653,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-3.6e-14,0.0,0.7784,0.2211,8.299e-05,2.267e-05,0.0002061,-1.0,0.000512,5.468,5.422,5.688,4.982,6.12,5.657,4.475,4.179,4.135
0.00051413,-1.48,9.5,0.7500000596,26.8525867462,0.75,-0.271,3.7788,4.651,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-3.67e-14,0.0,0.7789,0.2206,8.278e-05,2.263e-05,0.0002057,-1.0,0.0005169,5.447,5.402,5.665,4.964,6.093,5.635,4.46,4.165,4.122
0.00051413,-1.48,9.5,0.77914083,26.8565616608,0.779,-0.183,3.7888,4.619,1,0.0,0.536,0.0,0.0,0.0,0.0,0.0,-1,-4.57e-14,0.0,0.7872,0.2123,8.016e-05,2.193e-05,0.0001994,-1.0,0.0005057,5.227,5.187,5.431,4.771,5.828,5.407,4.291,4.011,3.975
0.00051413,-1.48,9.5,0.8000000119,26.8591976166,0.8,-0.121,3.7957,4.597,1,0.0,0.536,0.0,0.0,0.0,0.0,0.0,-1,-5.34e-14,0.0,0.7936,0.2059,7.816e-05,2.139e-05,0.0001946,-1.0,0.0005116,5.072,5.036,5.268,4.635,5.643,5.246,4.172,3.902,3.871
